|title|language|certificate_no|certified_duration|type_of_film|producer_name|production_house|certificate_type|format|certificate_date|duration_in_seconds
0|MOOGAJJANA KOLI|Arebhashe|DIL/1/61/2022-BAN|0 days 01:35:42|Theatrical|Suresh K|Nammakanasu Productions|U|1|2022-12-20|5742
1|RHINO EXPRESS|Assamese|DIL/1/4/2022-GUW|0 days 02:09:08|Theatrical|Ajay Verma|KHUSI ENTERTAINMENT UNIT OF KHUSI ENTERPRISE|U|1|2022-02-18|7748
2|BURBOKOR KHEL|Assamese|DIL/3/1/2022-GUW|0 days 01:46:56|Theatrical|Ashwin Kelkar|BLACK NOISE FILMS (OPC) PVT. LTD.|A|1|2022-03-16|6416
3|SRI KRISHNA LEELA|Assamese|DIL/1/6/2022-GUW|0 days 02:57:04|Theatrical|Rukmini Borah|R.B. CINE PRODUCTION CENTER|U|1|2022-03-21|10624
4|DADA TUMI DUSTA BOR.|Assamese|DIL/1/10/2022-GUW|0 days 02:46:19|Theatrical|Kazi Motiur Rahman|-|U|1|2022-04-08|9979
5|LOCAL UTPAAT|Assamese|DIL/2/3/2022-GUW|0 days 01:58:56|Theatrical|Kenny Deori Basumatary|Kenny DB Films|UA|1|2022-04-20|7136
6|GANGA - EKHONI BOWATI HIYA|Assamese|DIL/1/11/2022-GUW|0 days 02:17:08|Theatrical|Bachchu Roy|GOURI FILMS|U|1|2022-04-21|8228
7|DEWKA|Assamese|DIL/1/12/2022-GUW|0 days 02:04:18|Theatrical|Sanjive Narain|AM Television Pvt Ltd.|U|1|2022-04-27|7458
8|RON|Assamese|DIL/1/15/2022-GUW|0 days 02:25:42|Theatrical|Bimal Jyoti Nath|-|U|1|2022-05-10|8742
9|GUWAHATI DIARIES|Assamese|DIL/2/4/2022-GUW|0 days 01:35:03|Theatrical|Pranita Saikia|-|UA|1|2022-05-30|5703
10|EMUTHI PUTHI|Assamese|DIL/1/22/2022-GUW|0 days 01:44:12|Theatrical|Shyam Bora|METANORMAL MOTION PICTURES PRIVATE LIMITED|U|1|2022-06-08|6252
11|GHOST OF MAAIKHULI|Assamese|DIL/2/6/2022-GUW|0 days 01:52:46|Theatrical|Gita Pathak|CRAYON TREE PRODUCTIONS|UA|1|2022-07-12|6766
