|title|language|certificate_no|certified_duration|type_of_film|producer_name|production_house|certificate_type|format|certificate_date|duration_in_seconds
12|KHONG|Assamese|DIL/1/24/2022-GUW|0 days 02:40:00|Theatrical|Bharati Basumatari|-|U|1|2022-07-28|9600
13|AMITABH|Assamese|DIL/1/28/2022-GUW|0 days 01:26:57|Theatrical|Dibash Das|-|U|1|2022-08-16|5217
14|THE GOVERNMENT SERVANT|Assamese|DIL/2/8/2022-GUW|0 days 01:28:23|Theatrical|Lipika Medhi Sharma|-|UA|1|2022-08-17|5303
15|KASTURI - THE ESSENCE OF LIFE|Assamese|DIL/2/7/2022-GUW|0 days 01:14:12|Theatrical|Indrajit Kakati|-|UA|1|2022-08-17|4452
16|MUR XEKH GAAN... ( THE LAST SONG)|Assamese|DIL/1/30/2022-GUW|0 days 01:56:00|Theatrical|Priyanka Baruah|-|U|1|2022-09-01|6960
17|LANKAKANDA|Assamese|DIL/2/10/2022-GUW|0 days 02:21:49|Theatrical|Rajani Barman|BIDYA FILMS|UA|1|2022-09-19|8509
18|BHOLA BOMBHOLA|Assamese|DIL/1/33/2022-GUW|0 days 01:49:27|Theatrical|Monimala Borah|-|U|1|2022-09-19|6567
19|ADVITYA|Assamese|DIL/1/43/2022-GUW|0 days 01:58:24|Theatrical|Brojendra Nath Sarma|KRRISHNA KRAFT PRODUCTIONS (INDIA) PRIVATE LIMITED|U|1|2022-10-18|7104
20|BANDHU|Assamese|DIL/1/44/2022-GUW|0 days 02:16:03|Theatrical|Amit Jain|AMIT DEEPAK PRODUCTION LLP|U|1|2022-10-28|8163
21|OJAH THE RHYTHM OF LIFE|Assamese|DIL/1/45/2022-GUW|0 days 01:24:00|Theatrical|Pranab Jyoti Sarmah|Kuhi Production|U|1|2022-10-31|5040
22|MADE IN NALBARI|Assamese|DIL/1/47/2022-GUW|0 days 01:17:00|Theatrical|Umesh Nath|-|U|1|2022-11-10|4620
23|ISHWAR|Assamese|DIL/2/13/2022-GUW|0 days 01:43:35|Theatrical|Dinesh Das|-|UA|1|2022-11-12|6215
24|CLOUDY WITH A CHANCE OF MEATBALLS|Assamese|VFL/1/78/2022-MUM|0 days 01:26:58|Video|Pam Marsden, Sony Pictures USA|-|U|1|2022-12-15|5218
25|"""BAKUL PHULOR DORE ( THE BLOOMING BAKUL)"""|Assamese|DIL/1/50/2022-GUW|0 days 01:17:33|Theatrical|Riniki Sarma Bhuyan|PRIDE EAST ENTERTAINMENTS PRIVATE LIMITED|U|1|2022-12-16|4653
26|RAJNEETI PART 1|Assamese|DIL/2/15/2022-GUW|0 days 02:04:00|Theatrical|Mintu Nath|-|UA|1|2022-12-17|7440
27|GOLMAAL|Assamese|DIL/2/16/2022-GUW|0 days 01:38:19|Theatrical|Bikramjeet Das|-|UA|1|2022-12-21|5899
28|SHRI SHRI MADHAVDEV|Assamese|DIL/1/52/2022-GUW|0 days 02:02:47|Theatrical|Sanjive Narain|AM TELEVISION PVT LTD.|U|1|2022-12-21|7367
29|INDRANIL|Assamese|DIL/1/53/2022-GUW|0 days 01:38:07|Theatrical|Barnali Choudhury Bora|GLAZING RIVER|U|1|2022-12-22|5887
30|"""SOLDIERING FOR DEMOCRACY"""|Assamese|DIL/1/61/2022-GUW|0 days 01:15:06|Theatrical|Maini Mahanta|AD CRAFT|U|1|2022-12-26|4506
31|SEUJIA SAPON|Assamese|DIL/1/60/2022-GUW|0 days 01:19:01|Theatrical|Bani Kalita|-|U|1|2022-12-26|4741
32|"""KUHELIKA"""|Assamese|DIL/1/59/2022-GUW|0 days 01:14:05|Theatrical|Kabita Jain|-|U|1|2022-12-26|4445
33|POROBHAT|Assamese|VIL/1/7/2022-GUW|0 days 01:34:00|Video|Tarali Sarma|-|U|1|2022-12-29|5640
34|MOJOLI - AN ISLAND OF A BROKEN HEART|Assamese|DIL/2/17/2022-GUW|0 days 01:41:26|Theatrical|Rupjyoti Borah|-|UA|1|2022-12-29|6086
35|UMAS|Awadhi|DIL/2/179/2022-MUM|0 days 02:19:29|Theatrical|Mira Birbahadur Rajbhar|MEERA FILM CREATIONS|UA|1|2022-05-26|8369
36|DABANGG POLICEWALA (PAWAN KALYANS GABBAR SINGH)|AWADHI|VIL/2/261/2022-MUM|0 days 02:18:42|Video|ULKA MANISH SHAH|GOLDMINES TELEFILMS PVT LTD|UA|1|2022-06-16|8322
37|SARABHA|Awadhi|VIL/3/5/2022-MUM|0 days 02:13:19|Video|ULKA MANISH SHAH|GOLDMINES TELEFILMS PVT LTD|A|1|2022-07-06|7999
38|BAGAWAT - THE REVOLT|AWADHI|DIL/3/32/2022-MUM|0 days 02:14:43|Theatrical|Nitin Kumar Mishra|RUDRAKSH ADVENTURE PVT.LTD|A|1|2022-07-22|8083
39|SARABHA|Awadhi|VIL/2/343/2022-MUM|0 days 02:10:08|Video|ULKA MANISH SHAH|GOLDMINES TELEFILMS PVT LTD|UA|1|2022-07-28|7808
40|NAAGA|AWADHI|VIL/2/507/2022-MUM|0 days 02:20:57|Video|Sushilkumar Agrawal|ULTRA MEDIA AND ENTERTAINMENT PVT. LTD|UA|1|2022-12-08|8457
41|PREET KE BANDHAN|BAGHELI|DIL/1/15/2022-MUM|0 days 02:14:04|Theatrical|Chandrakant Dwivedi|M/s. C D Entertainment|U|1|2022-03-07|8044
42|BUDHIYA|Bagheli|DIL/2/461/2022-MUM|0 days 01:35:03|Theatrical|Avinash Tiwari|AVINASH FILMS|UA|1|2022-11-11|5703
43|SEVA DAAS|BANJARA|DIL/2/52/2022-HYD|0 days 02:37:04|Theatrical|Vinod Eshlavath|SRI SRI SRI HATHIRAM BALAJI CREATION|UA|1|2022-02-22|9424
44|SANT MARO SEVALAL|BANJARA|DIL/1/46/2022-MUM|0 days 02:01:22|Theatrical|Ashok Tukaramrao Kamle|CISS BUREAU STUDIOS|U|1|2022-05-12|7282
45|AUTO RAJA AACHO BHOOTH|BANJARA|DIL/2/119/2022-HYD|0 days 02:02:42|Theatrical|M R Praharshita|DHARANI TRENDZE|UA|1|2022-06-10|7362
46|THANDER TARA|BANJARA|DIL/1/52/2022-BAN|0 days 01:47:28|Theatrical|P Umesh Naik|BANJARA CINE CREATIONS|U|1|2022-12-06|6448
47|GAREEBERO GOL|BANJARA|DIL/2/188/2022-BAN|0 days 01:37:05|Theatrical|Sunil Kumar Chavan|sevabhaya creations|UA|1|2022-12-20|5825
48|DUM|Bengali|DIL/1/1/2022-KOL|0 days 02:21:33|Theatrical|Arpan Banerjee|-|U|1|2022-01-21|8493
49|KABERI ANTARDHAN|Bengali|DIL/2/1/2022-KOL|0 days 02:20:31|Theatrical|Tapan Das|M/S. SURINDER FILMS PVT. LTD.|UA|1|2022-01-31|8431
50|SINGHASAN BATTISI|Bengali|VIL/1/1/2022-KOL|0 days 01:43:01|Video|Pramod Kumar Tiwari|Shemaroo Entertainment Ltd.|U|1|2022-01-31|6181
51|ABAR BOCHHOR KOORI PORE|Bengali|DIL/1/2/2022-KOL|0 days 02:40:00|Theatrical|Animesh Ganguly|PSS ENTERTAINMENTS|U|1|2022-02-01|9600
52|60 ER PORE|Bengali|DIL/2/3/2022-KOL|0 days 01:49:24|Theatrical|Meena Sethi Mondal|M S FILMS AND PRODUCTIONS|UA|1|2022-02-02|6564
53|CHABIWALA|Bengali|DIL/1/4/2022-KOL|0 days 01:59:38|Theatrical|Raj Kumar Bhunia|-|U|1|2022-02-10|7178
54|UTTWARAAN|Bengali|DIL/2/4/2022-KOL|0 days 01:46:19|Theatrical|Sarathi Guha|Shadow Films|UA|1|2022-02-10|6379
55|PANDAVAS|Bengali|VIL/1/2/2022-KOL|0 days 01:38:01|Video|Pramod Kumar Tiwari|Shemaroo Entertainment Ltd.|U|1|2022-02-10|5881
56|VEER YODHA PRITHVIRAJ CHAUHAN|Bengali|VIL/1/3/2022-KOL|0 days 01:22:13|Video|Pramod Kumar Tiwari|Shemaroo Entertainment Ltd.|U|1|2022-02-10|4933
57|VENOM LET THERE BE CARNAGE|Bengali|VFL/2/45/2022-MUM|0 days 01:37:02|Video|Tom Hardy,Kelly Marcel,Sony Pictures USA|-|UA|1|2022-02-16|5822
58|ALIBABA|Bengali|VIL/1/4/2022-KOL|0 days 01:19:29|Video|Pramod Kumar Tiwari|Shemaroo Entertainment Ltd.|U|1|2022-02-21|4769
59|THE LEGEND OF BUDDHA|Bengali|VIL/1/5/2022-KOL|0 days 01:27:25|Video|Pramod Kumar Tiwari|Shemaroo Entertainment Ltd.|U|1|2022-02-21|5245
60|CHETAK THE WONDER HORSE|Bengali|VIL/1/6/2022-KOL|0 days 01:35:24|Video|Pramod Kumar Tiwari|Shemaroo Entertainment Ltd.|U|1|2022-02-21|5724
61|JAI KALI KALKATTAWALI|Bengali|DIL/1/7/2022-KOL|0 days 01:42:43|Theatrical|Sarathi Guha|Shadow Films|U|1|2022-02-21|6163
62|PANCHABHUJ|Bengali|DIL/2/5/2022-KOL|0 days 01:53:07|Theatrical|Soumyen Chatterjee|-|UA|1|2022-02-21|6787
63|RAHSYMOY|Bengali|DIL/1/8/2022-KOL|0 days 01:50:00|Theatrical|Chhaliya Shrivastava|M/S. AMAR CINEVISION PVT. LTD.|U|1|2022-02-22|6600
64|HARIYE JAOWAR AAGE|Bengali|DIL/1/9/2022-KOL|0 days 02:18:19|Theatrical|Malabika Dey|SC Entertainment LLP|U|1|2022-02-24|8299
65|HIRAK GARER HIREY|Bengali|DIL/1/10/2022-KOL|0 days 02:01:53|Theatrical|Sarathi Guha|Shadow Films|U|1|2022-03-03|7313
66|PRIYO CHINAR PATA, ITI SEGUN....(FIRE OF TEAK FLAME OF CHINAR)|Bengali|DIL/1/11/2022-KOL|0 days 02:04:02|Theatrical|Piyali Chowdhury|-|U|1|2022-03-04|7442
67|METER DOWN|Bengali|DIL/2/6/2022-KOL|0 days 01:18:31|Theatrical|Kingsuk Sarkhel|M/S. PANDORAS BOX|UA|1|2022-03-04|4711
68|MY FRIEND GANESHA|Bengali|VIL/1/7/2022-KOL|0 days 02:03:25|Video|Pramod Kumar Tiwari|Shemaroo Entertainment Ltd.|U|1|2022-03-07|7405
69|SHEI KANCHANJUNGHA|Bengali|DIL/1/12/2022-KOL|0 days 01:51:12|Theatrical|Anjan Dutt|M/S. ANJAN DUTT PRODUCTION|U|1|2022-03-07|6672
70|ALEXANDER AND PORUS|Bengali|VIL/1/8/2022-KOL|0 days 01:39:37|Video|Pramod Kumar Tiwari|Shemaroo Entertainment Ltd.|U|1|2022-03-07|5977
71|LOVE YOU ZINDEGI|Bengali|DIL/2/7/2022-KOL|0 days 01:49:56|Theatrical|Jhuma Paul|M/S. EQUINOX FILM CITY|UA|1|2022-03-08|6596
72|FAMILY EXPRESS|Bengali|DIL/1/13/2022-KOL|0 days 01:59:45|Theatrical|Samir Das Bairagya|SBF ENTERTAINMENT|U|1|2022-03-08|7185
73|GHATOTKACHA|Bengali|VIL/1/9/2022-KOL|0 days 01:20:00|Video|Pramod Kumar Tiwari|Shemaroo Entertainment Ltd.|U|1|2022-03-09|4800
74|SANTANER PARINATI|Bengali|DIL/1/6/2022-CUT|0 days 02:08:29|Theatrical|Ashok Kumar Lenka|-|U|1|2022-03-09|7709
75|THE GREEN CHIC - PAPA TUM KAHAN HO? FINDING DAD|Bengali|VIL/1/10/2022-KOL|0 days 01:30:22|Video|Pramod Kumar Tiwari|Shemaroo Entertainment Ltd.|U|1|2022-03-15|5422
76|BHALOBASHAR ROHOSHYO|Bengali|DIL/2/8/2022-KOL|0 days 01:46:08|Theatrical|Anjan Dutt|M/S. ANJAN DUTT PRODUCTION|UA|1|2022-03-16|6368
77|TARANGA|Bengali|DIL/1/14/2022-KOL|0 days 01:25:43|Theatrical|Bhavik Mahendra Pandya|M/S. Z V FILMES|U|1|2022-03-16|5143
78|BISHH (REVISED)|Bengali|VIL/2/1/2022-KOL|0 days 01:15:09|Video|Dippriya Mitter|R. P. TECHVISION (INDIA) PRIVATE LIMITED|UA|1|2022-03-17|4509
79|CAPTAIN VIDYUT|Bengali|VIL/1/11/2022-KOL|0 days 01:17:34|Video|Pramod Kumar Tiwari|Shemaroo Entertainment Ltd.|U|1|2022-03-17|4654
80|MADAM GEETA RANI|Bengali|VIL/1/16/2022-MUM|0 days 02:03:16|Video|Prabhu Sundakkampalayam Ramasamy|Dream Warrior Pictures|U|1|2022-03-25|7396
81|SON OF ALLADIN|Bengali|VIL/1/13/2022-KOL|0 days 01:25:00|Video|Pramod Kumar Tiwari|Shemaroo Entertainment Ltd.|U|1|2022-03-29|5100
82|CHUTANKI|Bengali|VIL/1/12/2022-KOL|0 days 01:23:07|Video|Pramod Kumar Tiwari|Shemaroo Entertainment Ltd.|U|1|2022-03-29|4987
83|PAKA DEKHA|Bengali|DIL/1/16/2022-KOL|0 days 02:18:55|Theatrical|Soham Chakraborty|SOHAM’S ENTERTAINMENT|U|1|2022-03-30|8335
84|AMRAPALI|Bengali|DIL/1/17/2022-KOL|0 days 02:00:00|Theatrical|Malabika Dey|SC Entertainment LLP|U|1|2022-03-30|7200
85|SAVINGS ACCOUNT|Bengali|DIL/2/9/2022-KOL|0 days 02:07:38|Theatrical|Sarathi Guha|Shadow Films|UA|1|2022-03-30|7658
86|MANDAAR|Bengali|DIL/3/1/2022-KOL|0 days 03:44:52|Theatrical|Debasish Sarkar|M/S. SVF ENTERTAINMENT PVT. LTD.|A|1|2022-04-01|13492
87|GOHINDANGA|Bengali|DIL/1/28/2022-MUM|0 days 02:21:08|Theatrical|Triptayan Chattopadhyay|TRIPVILL FILMEDIA|U|1|2022-04-01|8468
88|BHALOBASHAR TANE|Bengali|DIL/1/18/2022-KOL|0 days 01:38:33|Theatrical|Shibani Mondal|-|U|1|2022-04-05|5913
89|MON KHARAP ER OSUD|Bengali|DIL/1/19/2022-KOL|0 days 02:17:44|Theatrical|Bijaya Panja|M/S. MAHABAHU MOTION PICTURES|U|1|2022-04-05|8264
90|THE EKEN|Bengali|DIL/1/21/2022-KOL|0 days 02:12:04|Theatrical|Debasish Sarkar|M/S. SVF ENTERTAINMENT PVT. LTD.|U|1|2022-04-11|7924
91|APARAJITO|Bengali|DIL/1/22/2022-KOL|0 days 02:17:53|Theatrical|Prabal Halder|M/S. FRIENDS COMMUNICATION|U|1|2022-04-11|8273
92|ABHIJAAN|Bengali|DIL/1/23/2022-KOL|0 days 02:28:03|Theatrical|Nav Ratan Jhawar|Ratan Shree Nirman Private Limited|U|1|2022-04-12|8883
93|REALITY SHOW|Bengali|DIL/1/24/2022-KOL|0 days 02:11:46|Theatrical|Sumit Mondal|F.C.P|U|1|2022-04-13|7906
94|KISHMISH|Bengali|DIL/1/25/2022-KOL|0 days 02:21:32|Theatrical|Deepak Adhikari|DEV ENTERTAINMENT VENTURES PVT. LTD.|U|1|2022-04-19|8492
95|ANTARDRISHTI|Bengali|DIL/2/137/2022-MUM|0 days 02:28:54|Theatrical|Ajay Kumar Singh|M/S. LOVELY WORLD ENTERTAINMENT PVT,LTD|UA|1|2022-04-20|8934
96|DORPON|Bengali|DIL/1/26/2022-KOL|0 days 01:47:57|Theatrical|Shilpi Mondal|-|U|1|2022-04-21|6477
97|RAAVAN|Bengali|DIL/2/10/2022-KOL|0 days 02:17:55|Theatrical|Amit Jumrani|JEETZ FILMWORKS PVT. LTD.|UA|1|2022-04-25|8275
98|DEAR COMRADE|Bengali|VIL/2/184/2022-MUM|0 days 02:40:36|Video|Yalamanchili Ravi Shankar|MYTHRI MOVIE MAKERS|UA|1|2022-04-26|9636
99|BAL RAMAYAN|Bengali|VIL/1/14/2022-KOL|0 days 01:46:39|Video|Pramod Kumar Tiwari|Shemaroo Entertainment Ltd.|U|1|2022-04-28|6399
100|MASTERMOSHAI|Bengali|DIL/1/27/2022-KOL|0 days 02:02:57|Theatrical|Shiba Prashad Mondal|SUNNY PRODUCTIONS|U|1|2022-04-29|7377
101|VIKRAM ADITYA|Bengali|VIL/2/191/2022-MUM|0 days 02:07:04|Video|ULKA MANISH SHAH|GOLDMINES TELEFILMS PVT LTD|UA|1|2022-05-02|7624
102|SPIDER-MAN FAR FROM HOME|Bengali|VFL/2/143/2022-MUM|0 days 02:09:45|Video|Kevin Feige,Amy Pascal,Sony Pictures USA|-|UA|1|2022-05-02|7785
103|COLLEGE CAMPUS (REVISED)|Bengali|VIL/1/15/2022-KOL|0 days 01:54:32|Video|Anamika Majumder|-|U|1|2022-05-02|6872
104|BALLYGUNGER BAR BORISHALER KONE|Bengali|DIL/1/29/2022-KOL|0 days 02:16:48|Theatrical|Bijaya Panja|M/S. MAHABAHU MOTION PICTURES|U|1|2022-05-02|8208
105|MINI|Bengali|DIL/1/28/2022-KOL|0 days 01:54:00|Theatrical|Rahul Bhanja|SMALL TAALK IDEAS LLP|U|1|2022-05-02|6840
106|NAGAR BAUL KATHA|Bengali|DIL/1/31/2022-KOL|0 days 02:25:01|Theatrical|Aritra Sen|ROADSHOW FILMS PRIVATE LIMITED|U|1|2022-05-04|8701
107|JAAL BANDI|Bengali|DIL/2/12/2022-KOL|0 days 02:26:12|Theatrical|Pijush Chandra Saha|-|UA|1|2022-05-10|8772
108|TAKAR RANG KALO|Bengali|DIL/1/33/2022-KOL|0 days 02:19:26|Theatrical|Prasanta Sahana|M/S-PRASANTA SAHANA|U|1|2022-05-10|8366
109|HAR MANA HAR -PORABO TOMAR GOLE|Bengali|DIL/1/32/2022-KOL|0 days 01:44:03|Theatrical|Malabika Dey|SC Entertainment LLP|U|1|2022-05-10|6243
110|DRAUPADI-THE HORROR NIGHT|Bengali|DIL/1/34/2022-KOL|0 days 01:56:21|Theatrical|Sukumar Das|M/S – N. R. Production|U|1|2022-05-13|6981
111|AMAR SAPATH (REVISED)|Bengali|VIL/1/16/2022-KOL|0 days 02:21:31|Video|Sankar Ghosh|-|U|1|2022-05-13|8491
112|JUMANJI THE NEXT LEVEL|Bengali|VFL/2/149/2022-MUM|0 days 02:03:05|Video|Dwayne Johnson,Dany Garcia,Sony Pictures USA|-|UA|1|2022-05-17|7385
113|AWSORIRI|Bengali|VIL/2/212/2022-MUM|0 days 02:02:18|Video|Ravindran Ramaiah|M/s TRIDENT ARTS|UA|1|2022-05-18|7338
114|AASHAREY GOPPO|Bengali|DIL/2/13/2022-KOL|0 days 01:48:57|Theatrical|Sk Hasibul Haque|-|UA|1|2022-05-18|6537
115|LAAL RANGER DUNIYA (REVISED)|Bengali|VIL/2/3/2022-KOL|0 days 02:13:11|Video|Dippriya Mitter|R. P. TECHVISION (INDIA) PRIVATE LIMITED|UA|1|2022-05-19|7991
116|TIRANDAJ SHABOR|Bengali|DIL/2/14/2022-KOL|0 days 01:53:19|Theatrical|Nilanjan Basu|Camellia Productions Pvt Ltd|UA|1|2022-05-19|6799
117|HABJI GABJI|Bengali|DIL/1/35/2022-KOL|0 days 02:07:16|Theatrical|Arun Krishna Roy|M/S. RAJ SRIJAN ARTS LLP.|U|1|2022-05-19|7636
118|ESCAPE ROOM TOURNAMENT OF CHAMPIONS|Bengali|VFL/2/158/2022-MUM|0 days 01:30:05|Video|NEAL H. MORITZ, ADAM ROBITEL, SONY PICTURES USA|-|UA|1|2022-05-20|5405
119|BHOY PEO NA|Bengali|DIL/1/36/2022-KOL|0 days 01:46:37|Theatrical|Subhajit Mondal|M/S- BIGSCREEN PRODUCTIONS HOUSE|U|1|2022-05-20|6397
120|MADHYARAATER JIBON JAAPAN|Bengali|DIL/2/15/2022-KOL|0 days 01:38:02|Theatrical|Jishnudeep Barman|-|UA|1|2022-05-24|5882
121|X EQUALS TO PREM|Bengali|DIL/3/2/2022-KOL|0 days 01:56:25|Theatrical|Debasish Sarkar|M/S. SVF ENTERTAINMENT PVT. LTD.|A|1|2022-05-26|6985
122|ANACONDAS TRAIL OF BLOOD|Bengali|VFL/2/164/2022-MUM|0 days 01:26:03|Video|Alison Semenza,Sony Pictures USA|-|UA|1|2022-05-30|5163
123|NA BOLA KICHU KOTHA|Bengali|DIL/1/38/2022-KOL|0 days 01:13:07|Theatrical|Santanu Banerjee|-|U|1|2022-05-30|4387
124|ROHINI|Bengali|DIL/1/37/2022-KOL|0 days 01:40:24|Theatrical|Debasish Das|-|U|1|2022-05-30|6024
125|AAY KHUKU AAY|Bengali|DIL/1/40/2022-KOL|0 days 02:08:00|Theatrical|Amit Jumrani|JEETZ FILMWORKS PVT. LTD.|U|1|2022-06-02|7680
126|CHEENE BAADAAM|Bengali|DIL/1/39/2022-KOL|0 days 01:55:11|Theatrical|Ena Saha|M/S. JAREK ENTERTAINMENT|U|1|2022-06-02|6911
127|JAMAI AMI HIT (SHAILAJA REDDY ALLUDU)|Bengali|VIL/2/235/2022-MUM|0 days 02:15:48|Video|Suryadevara Naga Vamsi|SITHARA ENTERTAINMENTS|UA|1|2022-06-02|8148
128|ISKAPONER RANI|Bengali|DIL/1/42/2022-KOL|0 days 02:25:01|Theatrical|Joydeep Mukherjee|M/S. ARTAGE MEDIA PVT. LTD.|U|1|2022-06-07|8701
129|KOLI O ARJUN|Bengali|DIL/1/43/2022-KOL|0 days 02:31:29|Theatrical|Milan Bhowmik|Dream Makers (2011)|U|1|2022-06-08|9089
130|CIRCUS ER GHORA|Bengali|DIL/1/45/2022-KOL|0 days 01:54:39|Theatrical|Debasis Ghosh|SHRAYAMEET FILMS PRIVATE LIMITED|U|1|2022-06-14|6879
131|MOHA SONGHAT (KAITHI)|Bengali|VIL/2/260/2022-MUM|0 days 02:23:33|Video|Prabhu Sundakkampalayam Ramasamy|Dream Warrior Pictures|UA|1|2022-06-15|8613
132|KULPI|Bengali|DIL/2/18/2022-KOL|0 days 02:03:00|Theatrical|Bidyut Das|M/S. B.D. FILM PRODUCTION|UA|1|2022-06-16|7380
133|RISH|Bengali|DIL/1/47/2022-KOL|0 days 01:57:18|Theatrical|Rupak Chatterjee|M/S. CHATTERJEE FILMS PRODUCTION INDUSTRIES|U|1|2022-06-16|7038
134|SANNYASI DESHO NAYAK|Bengali|DIL/1/48/2022-KOL|0 days 02:27:29|Theatrical|Dinesh Prasad|M/S. MAA LAXMI PRASAD FILMS|U|1|2022-06-17|8849
135|MY BROTHER VICKY (THAMBI)|Bengali|VIL/2/276/2022-MUM|0 days 02:16:41|Video|Suraj C Sadanah|PARALLEL MINDS PRODUCTIONS LLP|UA|1|2022-06-22|8201
136|VORER PAKHI|Bengali|DIL/1/51/2022-KOL|0 days 02:03:15|Theatrical|Joydev Samadder|SWASTIKA FILM PRODUCTION|U|1|2022-06-27|7395
137|SMELL|Bengali|DIL/1/49/2022-KOL|0 days 01:21:22|Theatrical|Md Najmul Mallik|-|U|1|2022-06-27|4882
138|KAOTALI|Bengali|DIL/1/54/2022-KOL|0 days 01:56:43|Theatrical|Mintu Karmakar|-|U|1|2022-06-29|7003
139|KADAMBARI AAJO|Bengali|DIL/1/53/2022-KOL|0 days 01:47:59|Theatrical|Hirok Jyoti Paul|M/S. ADYA MAA PRODUCTIONS|U|1|2022-06-29|6479
140|JERSEY|Bengali|VIL/1/44/2022-MUM|0 days 02:40:00|Video|Suryadevara Naga Vamsi|SITHARA ENTERTAINMENTS|U|1|2022-07-01|9600
141|GOLPE MORA CHUPKATHA|Bengali|DIL/2/20/2022-KOL|0 days 02:04:13|Theatrical|Sekh Sakir Uddin|M/S-SS3 ENTERTAINMENT PVT LTD|UA|1|2022-07-04|7453
142|PRATHAM BARER PRATHAM DEKAH|Bengali|DIL/2/19/2022-KOL|0 days 02:18:26|Theatrical|Sushanta Biswas|M/S. S.B. FILMS AND ENTERTAINMENT|UA|1|2022-07-04|8306
143|JIBON SANGHI|Bengali|VIL/2/4/2022-KOL|0 days 02:06:13|Video|Sandeep Agarwala|Echo Entertainment Private Limited|UA|1|2022-07-07|7573
144|CHHAYA SURYA|Bengali|DIL/1/56/2022-KOL|0 days 01:57:43|Theatrical|Digbijay Chaudhuri|-|U|1|2022-07-07|7063
145|PALA BADOL|Bengali|DIL/1/55/2022-KOL|0 days 01:22:15|Theatrical|Somnath Sen|-|U|1|2022-07-07|4935
146|ALOR KHONJE|Bengali|DIL/1/57/2022-KOL|0 days 01:13:22|Theatrical|Kironmoy Mukherjee|Gita Films|U|1|2022-07-08|4402
147|SPIDERMAN NO WAY HOME|Bengali|VFL/2/222/2022-MUM|0 days 02:28:21|Video|Amy Pascal, Kevin Feigen, Sony Pictures U.S.A.|-|UA|1|2022-07-12|8901
148|GHOSTBUSTERS AFTERLIFE|Bengali|VFL/2/225/2022-MUM|0 days 02:03:55|Video|IVAN REITMAN,ADAM SOMER,SONY PICTURES USA|-|UA|1|2022-07-13|7435
149|DIWANI|Bengali|DIL/2/22/2022-KOL|0 days 01:57:43|Theatrical|Lakshman Mandal|-|UA|1|2022-07-14|7063
150|KULER ACHAAR - TOK JHAAL MISTI|Bengali|DIL/1/58/2022-KOL|0 days 01:56:06|Theatrical|Debasish Sarkar|M/S. SVF ENTERTAINMENT PVT. LTD.|U|1|2022-07-14|6966
151|AKORIK|Bengali|DIL/1/59/2022-KOL|0 days 01:49:05|Theatrical|Ashok Kumar Pareek|M/S.. ICEBERG CREATIONS LLP|U|1|2022-07-15|6545
152|GUPTTODHANER RAHASYA|Bengali|DIL/1/61/2022-KOL|0 days 01:29:49|Theatrical|Arpan Banerjee|-|U|1|2022-07-18|5389
153|KABOR|Bengali|DIL/1/60/2022-KOL|0 days 01:16:17|Theatrical|Purnima Gharami|-|U|1|2022-07-18|4577
