|title|language|certificate_no|certified_duration|type_of_film|producer_name|production_house|certificate_type|format|certificate_date|duration_in_seconds
11|TEARDROPS (ASHRU)|Assamese|DIL/1/13/2023-GUW|0 days 01:32:24|Theatrical|Manabendra Adhikary|ARTHA FILMS|U|1|2023-06-09|5544
12|ANTIM NIRNOY ( THE LAST DECISION)|Assamese|DIL/2/15/2023-GUW|0 days 01:31:54|Theatrical|Kushan Choudhury|-|UA|1|2023-07-03|5514
13|DADAGIRI|Assamese|DIL/2/18/2023-GUW|0 days 01:55:05|Theatrical|Probir Rajkhowa|-|UA|1|2023-08-18|6905
14|HOMEBOYS|Assamese|DIL/2/19/2023-GUW|0 days 02:23:13|Theatrical|Arindam Sharma|ARINDAM ENTERTAINMENT|UA|1|2023-08-23|8593
15|SEUJ SANDHAN ( IN SEARCH OF GREEN)|Assamese|DIL/1/25/2023-GUW|0 days 01:57:29|Theatrical|Anup Saikia|MEGHMALLAR ART FOUNDATION|U|1|2023-08-25|7049
16|"""TORAS HUSBAND"""|Assamese|DIL/1/26/2023-GUW|0 days 02:02:07|Theatrical|Jaya Das|FLYING RIVER FILMS|U|1|2023-08-31|7327
17|KOINA KONDA XIL|Assamese|DIL/1/27/2023-GUW|0 days 01:19:39|Theatrical|Mainu Devi|ECHO VALLEY CINE PRODUCTION|U|1|2023-08-31|4779
18|LOVE - ALL|Assamese|DIL/1/85/2023-MUM|0 days 02:11:58|Theatrical|Sudhanshu Sharma|FILMART PRODUCTION PRIVATE LIMITED|U|1|2023-09-01|7918
19|MAMATAR CHITHI|Assamese|DIL/1/29/2023-GUW|0 days 01:25:11|Theatrical|Debadib Das|-|U|1|2023-09-29|5111
20|VEER|Assamese|DIL/3/2/2023-GUW|0 days 02:14:42|Theatrical|Dipti Islam|CHAMPAWATI FILMS|A|1|2023-10-06|8082
21|RAKTABEEJ|Assamese|DIL/2/57/2023-KOL|0 days 02:21:59|Theatrical|Shiboprosad Mukherjee|Windows|UA|1|2023-10-17|8519
22|RAGHAV|Assamese|DIL/2/22/2023-GUW|0 days 01:54:16|Theatrical|Jatin Bora|J B PRODUCTION|UA|1|2023-10-17|6856
23|NELLIER KOTHA ( THE NELLIE STORY)|Assamese|DIL/2/24/2023-GUW|0 days 01:42:41|Theatrical|Parthajit Baruah|-|UA|1|2023-10-30|6161
24|ATA NIRJON DUPORIYA|Assamese|DIL/3/3/2023-GUW|0 days 01:43:48|Theatrical|Sunumunu Baruah|-|A|1|2023-11-15|6228
25|HEPAHOR ENAJORI|Assamese|DIL/1/36/2023-GUW|0 days 03:15:00|Theatrical|Kuber Raj Bordoloi|KUBER RAJ CINE PRODUCTION|U|1|2023-12-07|11700
26|BEFORE SPRING|Assamese|DIL/1/37/2023-GUW|0 days 01:26:58|Theatrical|Shrutismriti Changkakoti|LAPWING FILMS|U|1|2023-12-12|5218
27|JIYA|Assamese|DIL/1/38/2023-GUW|0 days 01:55:51|Theatrical|Sarmistha Chakravorty|Uki Films|U|1|2023-12-12|6951
28|POSTCARD|Assamese|DIL/1/39/2023-GUW|0 days 01:50:49|Theatrical|Sourav Baishya|FRAME IN STUDIO|U|1|2023-12-16|6649
29|KUHIPATH - LIFES FIRST LESSONS|Assamese|DIL/1/40/2023-GUW|0 days 01:38:35|Theatrical|Prasanta Kalita|-|U|1|2023-12-16|5915
30|SAMARPAN|Assamese|DIL/2/27/2023-GUW|0 days 01:16:16|Theatrical|Nabamika Barthakur|TRINAYAN MEDIA FOUNDATIN|UA|1|2023-12-27|4576
31|SONOWALI OITIJYA ( GOLDEN HERITAGE)|Assamese|DIL/1/45/2023-GUW|0 days 01:22:33|Theatrical|Ahindra Saikia|-|U|1|2023-12-28|4953
32|FINDING MAINI|Assamese|DIL/1/47/2023-GUW|0 days 01:16:51|Theatrical|Bijon Bikash Brahma|Agnir Xingho Studios|U|1|2023-12-28|4611
33|KUHI (THE BLOOMING BUD)|Assamese|DIL/1/48/2023-GUW|0 days 02:11:00|Theatrical|Nikhilesh Barua|-|U|1|2023-12-29|7860
34|HARI SHABNAM|AWADHI|DIL/2/49/2023-MUM|0 days 01:44:15|Theatrical|Jitesh Kumar Singh|J STAR FILMS|UA|1|2023-01-30|6255
35|SHIV SHAKTI (SOWCARPETTAI)|AWADHI|VIL/2/41/2023-MUM|0 days 02:00:00|Video|ULKA MANISH SHAH|GOLDMINES TELEFILMS PVT LTD|UA|1|2023-02-03|7200
36|MERE NAINA TERE NAINA|AWADHI|DIL/3/20/2023-MUM|0 days 02:20:51|Theatrical|Lal Vijay Shahdeo|AKRITI ENTERTAINMENT PVT. LTD.|A|1|2023-04-13|8451
37|MERE NAINA TERE NAINA|AWADHI|VIL/2/218/2023-MUM|0 days 02:15:00|Video|Lal Vijay Shahdeo|AKRITI ENTERTAINMENT PVT. LTD.|UA|1|2023-06-21|8100
38|BHOY (SHIRAI SHIRAI)|Bengali|DIL/2/1/2023-KOL|0 days 01:50:39|Theatrical|Sandeep Agarwala|Echo Entertainment Private Limited|UA|1|2023-01-02|6639
39|MANOBJOMIN|Bengali|DIL/2/2/2023-KOL|0 days 02:12:55|Theatrical|Sajal Basak|M/S. DCM FILM AND ENTERTAINMENT|UA|1|2023-01-04|7975
40|AARADHYA|Bengali|DIL/1/1/2023-GUW|0 days 01:17:04|Theatrical|Amit Kumar Nath|BHNN PRODUCTION|U|1|2023-01-05|4624
41|RATER OTITHI|Bengali|DIL/2/3/2023-KOL|0 days 01:28:45|Theatrical|Subir Bhattacharyya|-|UA|1|2023-01-09|5325
42|AMADER SAMPARKA|Bengali|DIL/1/1/2023-KOL|0 days 01:42:17|Theatrical|Bappa Naskar|M/S. PRIYANSHU FILM PRODUCTION LLP|U|1|2023-01-11|6137
43|MOMO- THE GAME OF DEATH|Bengali|DIL/2/4/2023-KOL|0 days 01:39:07|Theatrical|Rahul Saha|-|UA|1|2023-01-13|5947
44|PARBO NA BHULTEY TOKEY|Bengali|DIL/1/3/2023-KOL|0 days 02:14:14|Theatrical|Rajesh Santra|-|U|1|2023-01-16|8054
45|DILKHUSH|Bengali|DIL/2/5/2023-KOL|0 days 02:13:51|Theatrical|Debasish Sarkar|M/s. SVF Entertainment Pvt. Ltd|UA|1|2023-01-16|8031
46|DOCTOR BAKSHI|Bengali|DIL/2/6/2023-KOL|0 days 01:48:25|Theatrical|Saptarshi Sen|Star Media Ventures|UA|1|2023-01-17|6505
47|REVOLVER ROHOSHYO|Bengali|DIL/2/8/2023-KOL|0 days 01:57:27|Theatrical|Krishna Murari Kyal|M/S-Colors Of Dream Entertainment|UA|1|2023-01-20|7047
48|CHHAYAMOYEE|Bengali|DIL/1/4/2023-KOL|0 days 01:57:45|Theatrical|Suparnakanti Karati|Opera|U|1|2023-01-25|7065
49|RED|Bengali|VIL/2/35/2023-MUM|0 days 02:21:31|Video|Aneesh Arjun Dev|WIDE ANGLE MEDIA PRIVATE LTD.|UA|1|2023-01-25|8491
50|CHALLENGE-THE FIGHT|Bengali|VIL/1/1/2023-KOL|0 days 02:07:09|Video|Sandeep Agarwala|Echo Entertainment Private Limited|U|1|2023-01-25|7629
51|DUI|Bengali|DIL/1/5/2023-KOL|0 days 01:27:14|Theatrical|Laxmi Kanta Hazra|-|U|1|2023-01-30|5234
52|SAVE THE MOTHERS|Bengali|DIL/2/9/2023-KOL|0 days 01:32:01|Theatrical|Indrani Saha|M/S. INDIS ENTERTAINMENT|UA|1|2023-01-31|5521
53|NIDHON|Bengali|DIL/1/7/2023-KOL|0 days 01:41:04|Theatrical|Mahuya Jana|DRREAM WORKSS PRODUCTION|U|1|2023-02-02|6064
54|MITTHYE PREMER GAAN|Bengali|DIL/2/10/2023-KOL|0 days 02:28:01|Theatrical|Debasmita Chatterjee|M/S. NEOSTORY PRODUCTION HOUSE LIMITED|UA|1|2023-02-07|8881
55|DAAL BATI CHURMA CHACCHORI|Bengali|DIL/1/8/2023-KOL|0 days 01:49:55|Theatrical|Ravi Bhalotia|M/S-B K Entertainment|U|1|2023-02-07|6595
56|LAAL SUITCASE TA DEKHECHEN|Bengali|DIL/3/1/2023-KOL|0 days 01:51:31|Theatrical|Soham Chakraborty|SOHAM’S ENTERTAINMENT|A|1|2023-02-07|6691
57|THE GIFT|Bengali|DIL/2/11/2023-KOL|0 days 01:57:02|Theatrical|Suchismita Dash|M/S K.D. Enterprise|UA|1|2023-02-09|7022
58|MUKH MUKHOSH|Bengali|DIL/2/12/2023-KOL|0 days 01:55:24|Theatrical|Prabir Pachal|-|UA|1|2023-02-15|6924
59|PALASHER BIYE|Bengali|DIL/1/9/2023-KOL|0 days 01:39:11|Theatrical|Sarathi Guha|Shadow Films|U|1|2023-02-15|5951
60|GOYENDA RIJU|Bengali|DIL/1/10/2023-KOL|0 days 01:30:31|Theatrical|Mohua Chakraborty|-|U|1|2023-02-17|5431
61|RAKHBO MONER MAJHE|Bengali|DIL/2/14/2023-KOL|0 days 01:51:05|Theatrical|Mrityunjoy Roy|-|UA|1|2023-02-21|6665
62|MONER MILAN|Bengali|VIL/1/2/2023-KOL|0 days 01:58:01|Video|Arjun Reddy Aatla|Radio Media|U|1|2023-02-22|7081
63|KRISNA KAVERI|Bengali|VIL/2/1/2023-KOL|0 days 02:13:14|Video|Sandeep Agarwala|Echo Entertainment Private Limited|UA|1|2023-02-22|7994
64|BABLIR BORNOPORICHOYE|Bengali|DIL/1/11/2023-KOL|0 days 01:55:48|Theatrical|Samid Gupta|LDS International|U|1|2023-02-22|6948
65|NISHACHAR|Bengali|DIL/2/15/2023-KOL|0 days 01:50:06|Theatrical|Debasish Ghosh|-|UA|1|2023-02-24|6606
66|MAHABHOJ|Bengali|DIL/1/13/2023-KOL|0 days 01:40:00|Theatrical|Manoj Kumar Das|M/S. KHOAI ARTS|U|1|2023-02-27|6000
67|EKLA MON|Bengali|DIL/1/14/2023-KOL|0 days 01:58:29|Theatrical|Hira Debi|-|U|1|2023-02-27|7109
68|ARCHIE’R GALLERY|Bengali|DIL/1/15/2023-KOL|0 days 01:49:15|Theatrical|Malabika Dey|SC Entertainment LLP|U|1|2023-02-28|6555
69|ANGSHUMAN MBA|Bengali|DIL/1/16/2023-KOL|0 days 01:48:31|Theatrical|Malabika Dey|M/S-R T Entertainment Pvt Ltd|U|1|2023-02-28|6511
70|MON NIYE KHELA|Bengali|VIL/2/2/2023-KOL|0 days 02:08:53|Video|Sandeep Agarwala|Echo Entertainment Private Limited|UA|1|2023-02-28|7733
71|ARUNDHATI|Bengali|DIL/2/16/2023-KOL|0 days 02:06:58|Theatrical|Sukesh Agarwal|-|UA|1|2023-03-02|7618
72|KING|Bengali|DIL/1/17/2023-KOL|0 days 02:17:04|Theatrical|Arpan Banerjee|-|U|1|2023-03-02|8224
73|ID|Bengali|DIL/2/4/2023-GUW|0 days 01:40:48|Theatrical|Deepak Das|M/s. UTTARA FILMS INTERNATIONAL|UA|1|2023-03-06|6048
74|EGO|Bengali|DIL/1/18/2023-KOL|0 days 01:44:12|Theatrical|Joydeep Mukherjee|M/S. ARTAGE MEDIA PVT. LTD.|U|1|2023-03-06|6252
75|SHWAPNACHOWA|Bengali|DFL/2/18/2023-MUM|0 days 02:28:22|Theatrical|Md. Munir Reza|-|UA|1|2023-03-06|8902
76|SATTA|Bengali|DFL/2/19/2023-MUM|0 days 01:56:48|Theatrical|Sohani Hossain|-|UA|1|2023-03-06|7008
77|VAIDEHI|BENGALI PARTLY ENGLISH|DIL/1/5/2023-GUW|0 days 01:20:48|Theatrical|Sushmita Debnath|-|U|1|2023-03-13|4848
78|DHUMKETU|Bengali|DFL/2/24/2023-MUM|0 days 02:11:59|Theatrical|Md. Munir Reza|-|UA|1|2023-03-14|7919
79|AMI SUDHU TOR|Bengali|DIL/1/19/2023-KOL|0 days 02:02:03|Theatrical|Sourabh Natta|M/S. SVE VENTURE ENTERTAINMENT|U|1|2023-03-14|7323
80|LUKOCHURI|Bengali|DIL/1/20/2023-KOL|0 days 02:06:57|Theatrical|Nalini Gopal Deb|NALINI LAKSHMI CREATIONS|U|1|2023-03-14|7617
81|CHIROSAKHA HEY|Bengali|DIL/1/21/2023-KOL|0 days 01:37:28|Theatrical|Argha Chatterjee|M/S. 69 CREATIVE ENTERTAINMENT|U|1|2023-03-14|5848
82|STREE (REVISED).|Bengali|VIL/2/3/2023-KOL|0 days 02:23:18|Video|Saugata Nandi|CHARU CHITRA|UA|1|2023-03-17|8598
83|TOLABAAJ|Bengali|VIL/2/4/2023-KOL|0 days 02:07:32|Video|Sandeep Agarwala|Echo Entertainment Private Limited|UA|1|2023-03-17|7652
84|PREAM BANDHAN|Bengali|DIL/1/22/2023-KOL|0 days 01:28:00|Theatrical|Ashim Das|M/S. VISION PLUS FILM PRODUCTION|U|1|2023-03-20|5280
85|BORFI|Bengali|DIL/3/2/2023-KOL|0 days 01:56:52|Theatrical|Meena Sethi Mondal|M S FILMS AND PRODUCTIONS|A|1|2023-03-23|7012
86|LORAI|Bengali|VIL/2/5/2023-KOL|0 days 02:37:04|Video|Sandeep Agarwala|Echo Entertainment Private Limited|UA|1|2023-03-23|9424
87|BOSE|Bengali|VIL/2/96/2023-MUM|0 days 02:28:06|Video|Aneesh Arjun Dev|WIDE ANGLE MEDIA PRIVATE LTD.|UA|1|2023-03-28|8886
88|THE EKEN - RUDDHASWAS RAJASTHAN|Bengali|DIL/1/23/2023-KOL|0 days 02:01:05|Theatrical|Debasish Sarkar|M/s. SVF Entertainment Pvt. Ltd|U|1|2023-03-30|7265
89|CHENGIZ|Bengali|DIL/2/19/2023-KOL|0 days 02:33:21|Theatrical|Amit Jumrani|JEETZ FILMWORKS PVT. LTD.|UA|1|2023-04-06|9201
90|NONTE FONTE|Bengali|DIL/1/24/2023-KOL|0 days 01:57:38|Theatrical|Brij Mohan Jalan|M/S. JALAN INTERNATIONAL FILMS PVT. LTD.|U|1|2023-04-10|7058
91|LOVE MARRIAGE|Bengali|DIL/1/25/2023-KOL|0 days 02:07:25|Theatrical|Tapan Das|M/S. SURINDER FILMS PVT. LTD.|U|1|2023-04-10|7645
92|BONKOPU|Bengali|DIL/1/27/2023-KOL|0 days 01:20:34|Theatrical|Arghya Mukhopadhyay|Puku Films and Television|U|1|2023-04-18|4834
93|SHOHORER USHNOTOMO DIN E|Bengali|DIL/1/28/2023-KOL|0 days 01:57:36|Theatrical|Malabika Dey|M/S-R T Entertainment Pvt Ltd|U|1|2023-04-21|7056
94|FATAFATI|Bengali|DIL/1/29/2023-KOL|0 days 02:11:21|Theatrical|Shiboprosad Mukherjee|Windows|U|1|2023-04-21|7881
95|RONG PENCIL|Bengali|DIL/2/20/2023-KOL|0 days 02:04:35|Theatrical|Salina Khatoon|-|UA|1|2023-04-21|7475
96|SATURDAY AFTERNOON|Bengali|DFL/2/37/2023-MUM|0 days 01:28:31|Theatrical|Chabial Films|-|UA|1|2023-04-26|5311
97|SIMANA PERIYE|Bengali|DIL/1/31/2023-KOL|0 days 01:39:59|Theatrical|Bhubaneswar Dey|-|U|1|2023-04-27|5999
98|BIYE BIBHRAT|Bengali|DIL/1/32/2023-KOL|0 days 01:58:21|Theatrical|Malabika Dey|M/S-R T Entertainment Pvt Ltd|U|1|2023-05-02|7101
99|BEAUTIFUL LIFE|BENGALI WITH ENGLISH SUBTITLE|DIL/2/21/2023-KOL|0 days 01:47:31|Digital|Pradip Kumar Churiwal|MACNEILL ENGINEERING LIMITED|UA|1|2023-05-02|6451
100|NIHARIKA|Bengali|DIL/3/3/2023-KOL|0 days 02:06:44|Theatrical|Shanoli Majumder|PASTEL ENTERTAINMENTS AND MEDIA PRIVATE LIMITED|A|1|2023-05-03|7604
101|SHIBPUR|Bengali|DIL/3/4/2023-KOL|0 days 02:12:05|Theatrical|Ajanta Sinha Roy|M/S. INDO AMERICANA PRODUCTION|A|1|2023-05-03|7925
102|RAJNEETI|Bengali|VIL/2/142/2023-MUM|0 days 01:51:21|Video|Aneesh Arjun Dev|WIDE ANGLE MEDIA PRIVATE LTD.|UA|1|2023-05-04|6681
103|POLICE BABU|Bengali|VIL/2/147/2023-MUM|0 days 02:14:39|Video|Aneesh Arjun Dev|WIDE ANGLE MEDIA PRIVATE LTD.|UA|1|2023-05-04|8079
104|PROTISHODH|Bengali|VIL/2/148/2023-MUM|0 days 02:08:43|Video|Aneesh Arjun Dev|WIDE ANGLE MEDIA PRIVATE LTD.|UA|1|2023-05-04|7723
105|KIRTAN|Bengali|DIL/1/33/2023-KOL|0 days 02:15:15|Theatrical|Nilanjan Basu|Camellia Productions Pvt Ltd|U|1|2023-05-05|8115
106|ENGLISH MONTY|Bengali|DIL/3/30/2023-MUM|0 days 02:43:54|Theatrical|David R|INFANT CINE CREATIONS|A|1|2023-05-08|9834
107|K.G.F: CHAPTER 2|Bengali|VIL/2/6/2023-KOL|0 days 02:47:16|Video|Vijay Kiragandur T|M/S HOMBALE FILMS LLP|UA|1|2023-05-09|10036
108|ABAR BIBAHO OBHIJAAN|Bengali|DIL/1/34/2023-KOL|0 days 01:59:04|Theatrical|Debasish Sarkar|M/s. SVF Entertainment Pvt. Ltd|U|1|2023-05-11|7144
109|MUQABLA|Bengali|VIL/2/7/2023-KOL|0 days 01:47:19|Video|Sandeep Agarwala|Echo Entertainment Private Limited|UA|1|2023-05-11|6439
110|TENIDA AND COMPANY|BENGALI WITH ENGLISH SUBTITLE|DIL/1/35/2023-KOL|0 days 01:43:07|Digital|Tapan Das|M/S. SURINDER FILMS PVT. LTD.|U|1|2023-05-12|6187
111|LOKKHI|Bengali|VIL/2/162/2023-MUM|0 days 02:17:32|Video|Aneesh Arjun Dev|WIDE ANGLE MEDIA PRIVATE LTD.|UA|1|2023-05-18|8252
112|NIKHONJ –THE SEARCH BEGINS|Bengali|DIL/2/22/2023-KOL|0 days 01:56:31|Theatrical|Malabika Dey|M/S-R T Entertainment Pvt Ltd|UA|1|2023-05-19|6991
113|BHEJA MON|Bengali|DIL/1/38/2023-KOL|0 days 01:35:55|Theatrical|Susangeet Santra|-|U|1|2023-05-23|5755
114|SHOB KORO PREM KORO NA|Bengali|DIL/1/40/2023-KOL|0 days 01:51:04|Theatrical|Mukesh Kumar Pandey|pandey motion pictures|U|1|2023-05-29|6664
115|DARJEELING DARJEELING|Bengali|DIL/2/23/2023-KOL|0 days 02:12:01|Theatrical|Sukesh Agarwal|-|UA|1|2023-05-29|7921
116|APORAJEYO|Bengali|DIL/1/41/2023-KOL|0 days 01:56:57|Theatrical|Shyam Sundar Daga|-|U|1|2023-05-29|7017
117|ARDHANGINI|Bengali|DIL/2/24/2023-KOL|0 days 02:14:58|Theatrical|Tapan Das|M/S. SURINDER FILMS PVT. LTD.|UA|1|2023-05-29|8098
118|SPIDERMAN ACROSS THE SPIDER VERSE|Bengali|DFL/2/68/2023-MUM|0 days 02:20:11|Theatrical|Avi Arad, Phil Lord, Sony Pictures USA|-|UA|1|2023-05-31|8411
119|SAMARESH BASU - R PROJAPOTI|Bengali|DIL/2/25/2023-KOL|0 days 01:51:12|Theatrical|Bhavik Mahendra Pandya|M/S. Z V FILMES|UA|1|2023-06-01|6672
120|DEBAR CHAL|Bengali|VIL/2/180/2023-MUM|0 days 01:53:05|Video|Aneesh Arjun Dev|WIDE ANGLE MEDIA PRIVATE LTD.|UA|1|2023-06-02|6785
121|MISSION OTP|Bengali|DIL/1/45/2023-KOL|0 days 02:11:38|Theatrical|Prasenjit Kumar Paul|-|U|1|2023-06-06|7898
122|MAHANAGARI THEKEY DUREY|Bengali|DIL/1/46/2023-KOL|0 days 01:42:05|Theatrical|Arijit Basu|M/S. ARTIST VILLA PRODUCTION|U|1|2023-06-07|6125
123|SATHI AMAR|Bengali|VIL/1/3/2023-KOL|0 days 02:11:55|Video|Sandeep Agarwala|Echo Entertainment Private Limited|U|1|2023-06-08|7915
124|DATTA|Bengali|DIL/1/47/2023-KOL|0 days 02:15:18|Theatrical|Rituparna Chakrabarty Sengupta|BHAVNA AAJ O KAL|U|1|2023-06-13|8118
125|ONTIM KHELA|Bengali|VIL/2/203/2023-MUM|0 days 02:00:15|Video|Aneesh Arjun Dev|WIDE ANGLE MEDIA PRIVATE LTD.|UA|1|2023-06-14|7215
126|PRATIGYA|Bengali|VIL/2/204/2023-MUM|0 days 01:51:44|Video|Aneesh Arjun Dev|WIDE ANGLE MEDIA PRIVATE LTD.|UA|1|2023-06-14|6704
127|MAYAA|Bengali|DIL/3/5/2023-KOL|0 days 02:51:46|Theatrical|Rohit Banerjee|M/S. DSR ENTERTAINMENT HOUSE|A|1|2023-06-16|10306
128|FIGHTER|Bengali|VIL/2/8/2023-KOL|0 days 02:36:04|Video|Sandeep Agarwala|Echo Entertainment Private Limited|UA|1|2023-06-16|9364
129|KANTAY KANTA|Bengali|DIL/2/28/2023-KOL|0 days 02:05:43|Theatrical|Soham Roy|M/S-Aatreyee Nirman Pvt Ltd|UA|1|2023-06-16|7543
130|AMADER-E EKJAN|Bengali|DIL/1/48/2023-KOL|0 days 01:29:59|Theatrical|Shyamal Das|-|U|1|2023-06-16|5399
131|RAHASYADEEP|Bengali|DIL/1/49/2023-KOL|0 days 01:59:00|Theatrical|Yasmin Ibrahim|-|U|1|2023-06-20|7140
132|SADAGATI|Bengali|DIL/1/50/2023-KOL|0 days 01:41:14|Theatrical|Somnath Santra|JAYANTI MOVIES|U|1|2023-06-21|6074
133|ETAANHORE-THE GUEST|Bengali|DIL/1/51/2023-KOL|0 days 01:20:00|Theatrical|Satyajit Majumder|-|U|1|2023-06-21|4800
134|SHIBPUR (REVISED)|Bengali|VIL/2/9/2023-KOL|0 days 02:10:45|Video|Ajanta Sinha Roy|M/S. INDO AMERICANA PRODUCTION|UA|1|2023-06-21|7845
135|BISWASGHATAK|Bengali|DIL/1/52/2023-KOL|0 days 02:09:48|Theatrical|Joydeb Mondal|JYOTI PRODUCTION KOLKATA|U|1|2023-06-21|7788
136|BIDROHINI (REVISED)|Bengali|VIL/2/10/2023-KOL|0 days 02:12:24|Video|Abhay Kumar Tantiya|M/S. ANGEL TELEVISION PVT. LTD.|UA|1|2023-06-22|7944
137|BADNAAM BAADSHAH|Bengali|VIL/2/220/2023-MUM|0 days 01:40:31|Video|Aneesh Arjun Dev|WIDE ANGLE MEDIA PRIVATE LTD.|UA|1|2023-06-27|6031
138|PALAN|Bengali|DIL/1/54/2023-KOL|0 days 02:06:36|Theatrical|Prateek Pradeep Chakravorty|M/S. PRAMOD FILMS|U|1|2023-06-27|7596
139|GOLMAAL RETURN|Bengali|VIL/2/11/2023-KOL|0 days 01:52:19|Video|Sandeep Agarwala|Echo Entertainment Private Limited|UA|1|2023-06-30|6739
140|AAMAR LABANGALATA|Bengali|DIL/1/55/2023-KOL|0 days 02:15:11|Theatrical|Ranjana Ganguly|M/S. SRI GANESH ENTERTAINMENT|U|1|2023-06-30|8111
141|MISSION PAHARPUR|Bengali|DIL/2/29/2023-KOL|0 days 02:15:32|Theatrical|Tandra Adhikari|-|UA|1|2023-06-30|8132
142|BIJOYAR PORE|Bengali|DIL/1/56/2023-KOL|0 days 02:29:33|Theatrical|Abhijit Das|M/S. SR JUPITER MOTION PICTURES|U|1|2023-07-04|8973
143|BEADAP|Bengali|VIL/2/12/2023-KOL|0 days 02:26:05|Video|Sandeep Agarwala|Echo Entertainment Private Limited|UA|1|2023-07-04|8765
144|MAHAN|Bengali|VIL/2/13/2023-KOL|0 days 02:01:09|Video|Sandeep Agarwala|Echo Entertainment Private Limited|UA|1|2023-07-04|7269
145|BASUNDHARA|Bengali|DIL/1/57/2023-KOL|0 days 01:27:02|Theatrical|Susmita Choudhury|M/S. BNC PRODUCTION|U|1|2023-07-06|5222
146|DURANTO PREM|Bengali|VIL/1/4/2023-KOL|0 days 02:11:12|Video|Sandeep Agarwala|Echo Entertainment Private Limited|U|1|2023-07-06|7872
147|JUWA (REVISED)|Bengali|VIL/2/14/2023-KOL|0 days 01:50:43|Video|Abhay Kumar Tantiya|M/S. ANGEL TELEVISION PVT. LTD.|UA|1|2023-07-07|6643
148|CHEENI 2|Bengali|DIL/1/59/2023-KOL|0 days 02:05:02|Theatrical|Debasish Sarkar|M/s. SVF Entertainment Pvt. Ltd|U|1|2023-07-10|7502
149|CHAKRANTO|Bengali|DIL/1/58/2023-KOL|0 days 01:41:38|Theatrical|Bimal Mal|-|U|1|2023-07-10|6098
150|SURANGO|Bengali|DFL/2/1/2023-KOL|0 days 02:29:49|Theatrical|SHAHRIAR KARIM BHUIYAN|-|UA|1|2023-07-17|8989
151|LOKKHIR PAA|Bengali|DIL/1/61/2023-KOL|0 days 01:18:00|Theatrical|Abhik Das|-|U|1|2023-07-19|4680
152|FATEMA|Bengali|DIL/1/62/2023-KOL|0 days 01:53:18|Theatrical|Mita Sarkar|PM MOVIES|U|1|2023-07-24|6798
153|SHESH ROKKHA|Bengali|DIL/1/63/2023-KOL|0 days 01:56:03|Theatrical|Malabika Dey|M/S-R T Entertainment Pvt Ltd|U|1|2023-07-27|6963
154|ALAKSHYE RITWIK|Bengali|DIL/2/31/2023-KOL|0 days 02:12:59|Theatrical|Milan Bhowmik|Dream Makers 2011|UA|1|2023-07-31|7979
155|DISHAHIN MON AMAR|Bengali|DIL/2/32/2023-KOL|0 days 01:53:27|Theatrical|Abhijnan Bhattacharya|M/S. NATARAJ PRODUCTION CREATION|UA|1|2023-08-02|6807
156|BYOMKESH O DURGO ROHOSHYO|Bengali|DIL/2/33/2023-KOL|0 days 01:59:05|Theatrical|Sarathi Guha|Shadow Films|UA|1|2023-08-04|7145
157|SAVITRI|Bengali|VIL/2/275/2023-MUM|0 days 01:55:09|Video|Aneesh Arjun Dev|WIDE ANGLE MEDIA PRIVATE LTD.|UA|1|2023-08-09|6909
