|title|language|certificate_no|certified_duration|type_of_film|producer_name|production_house|certificate_type|format|certificate_date|duration_in_seconds
0|CHITANG MANNA BHAGNA|AHIRANI|DIL/2/496/2023-MUM|0 days 01:56:04|Theatrical|Abdularif Shaikh|AYIMAN FILMS|UA|1|2023-10-26|6964
1|DISPUROT GABHORU|Assamese|DIL/2/1/2023-GUW|0 days 01:40:00|Theatrical|Abu Motiur Rahman|-|UA|1|2023-01-02|6000
2|DR. BEZBARUAH 2|Assamese|DIL/2/2/2023-GUW|0 days 01:49:18|Theatrical|Sanjive Narain|AM TELEVISION PVT LTD.|UA|1|2023-01-25|6558
3|THE SMURFS|Assamese|VFL/1/8/2023-MUM|0 days 01:39:12|Video|Jordan Kerner,Sony Pictures USA|-|U|1|2023-02-14|5952
4|BLACK N WHITE|Assamese|DIL/2/3/2023-GUW|0 days 02:10:05|Theatrical|Rohit Sharma|-|UA|1|2023-02-20|7805
5|HOTEL TRANSYLVANIA|Assamese|VFL/2/43/2023-MUM|0 days 01:29:00|Video|Michelle Murdocca, Sony Pictures USA|-|UA|1|2023-03-21|5340
6|"""SATYA THE TRUTH"""|Assamese|DIL/3/1/2023-GUW|0 days 01:54:00|Theatrical|Tilottama Talukdar|CITY PRODUCTION|A|1|2023-03-30|6840
7|KI KOWA, DOSTI|Assamese|DIL/1/8/2023-GUW|0 days 01:45:41|Theatrical|Kenny Deori Basumatary|Kenny DB Films|U|1|2023-03-30|6341
8|THE SLAM BOOK|Assamese|DIL/2/9/2023-GUW|0 days 01:59:39|Theatrical|Debo Borkotoky|NK Production|UA|1|2023-05-16|7179
9|SRI RAGHUPATI|Assamese|DIL/2/10/2023-GUW|0 days 02:08:57|Theatrical|Sailen Kumar Sharma|-|UA|1|2023-05-24|7737
10|RONGATAPU 1982|Assamese|DIL/2/12/2023-GUW|0 days 01:42:12|Theatrical|Arun Kumar Rai|BRC CINE PRODUCTION|UA|1|2023-06-06|6132
