region,certifying_region
BAN,Bengaluru
CHE,Chennai
CUT,Cuttack
DEL,New Delhi
GUW,Guwahati
HYD,Hyderabad
KOL,Kolkata
MUM,Mumbai
THI,Thiruvananthapuram
